file,molecule,position,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å
SurfDock_docking_result/1JF2_protein_processed_obabel_reduce_obabel_8A_1JF2_ligand/1JF2_1JF2_ligand_1JF2_ligand.sdf_file_inner_idx_0_sample_idx_39_rank_1_rmsd_0.718458393216688_confidence_445.8428402189935.sdf,1JF2_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1KDP_protein_processed_obabel_reduce_obabel_8A_1KDP_ligand/1KDP_1KDP_ligand_1KDP_ligand.sdf_file_inner_idx_0_sample_idx_30_rank_1_rmsd_0.5751724369258179_confidence_300.1633567427452.sdf,1KDP_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1LB9_protein_processed_obabel_reduce_obabel_8A_1LB9_ligand/1LB9_1LB9_ligand_1LB9_ligand.sdf_file_inner_idx_0_sample_idx_28_rank_1_rmsd_0.41838858557618414_confidence_313.5752188439466.sdf,1LB9_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
SurfDock_docking_result/1LC8_protein_processed_obabel_reduce_obabel_8A_1LC8_ligand/1LC8_1LC8_ligand_1LC8_ligand.sdf_file_inner_idx_0_sample_idx_39_rank_1_rmsd_0.7957027729667745_confidence_351.36867866698236.sdf,1LC8_ligand,0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1LNM_protein_processed_obabel_reduce_obabel_8A_1LNM_ligand/1LNM_1LNM_ligand_1LNM_ligand.sdf_file_inner_idx_0_sample_idx_16_rank_1_rmsd_1.284913724901221_confidence_200.965406852963.sdf,1LNM_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1LW5_protein_processed_obabel_reduce_obabel_8A_1LW5_ligand/1LW5_1LW5_ligand_1LW5_ligand.sdf_file_inner_idx_0_sample_idx_20_rank_1_rmsd_0.3766267983015669_confidence_254.27446041002116.sdf,1LW5_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True
SurfDock_docking_result/1M2Z_protein_processed_obabel_reduce_obabel_8A_1M2Z_ligand/1M2Z_1M2Z_ligand_1M2Z_ligand.sdf_file_inner_idx_0_sample_idx_15_rank_1_rmsd_0.7216939676311345_confidence_304.418055985988.sdf,1M2Z_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1MDZ_protein_processed_obabel_reduce_obabel_8A_1MDZ_ligand/1MDZ_1MDZ_ligand_1MDZ_ligand.sdf_file_inner_idx_0_sample_idx_34_rank_1_rmsd_1.089164132540517_confidence_315.38826577818446.sdf,1MDZ_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True
SurfDock_docking_result/1MI4_protein_processed_obabel_reduce_obabel_8A_1MI4_ligand/1MI4_1MI4_ligand_1MI4_ligand.sdf_file_inner_idx_0_sample_idx_5_rank_1_rmsd_1.0309616301024318_confidence_183.79993932354878.sdf,1MI4_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1ML4_protein_processed_obabel_reduce_obabel_8A_1ML4_ligand/1ML4_1ML4_ligand_1ML4_ligand.sdf_file_inner_idx_0_sample_idx_13_rank_1_rmsd_0.42409255692047665_confidence_221.41281016429357.sdf,1ML4_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1MRO_protein_processed_obabel_reduce_obabel_8A_1MRO_ligand/1MRO_1MRO_ligand_1MRO_ligand.sdf_file_inner_idx_0_sample_idx_38_rank_1_rmsd_0.7074776324659878_confidence_368.3759215036687.sdf,1MRO_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True
SurfDock_docking_result/1MRQ_protein_processed_obabel_reduce_obabel_8A_1MRQ_ligand/1MRQ_1MRQ_ligand_1MRQ_ligand.sdf_file_inner_idx_0_sample_idx_37_rank_1_rmsd_0.5590076343909666_confidence_134.38232802167255.sdf,1MRQ_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1NC3_protein_processed_obabel_reduce_obabel_8A_1NC3_ligand/1NC3_1NC3_ligand_1NC3_ligand.sdf_file_inner_idx_0_sample_idx_36_rank_1_rmsd_1.942910607045986_confidence_233.33840522810928.sdf,1NC3_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1NIU_protein_processed_obabel_reduce_obabel_8A_1NIU_ligand/1NIU_1NIU_ligand_1NIU_ligand.sdf_file_inner_idx_0_sample_idx_27_rank_1_rmsd_0.4212029505037524_confidence_210.60401823134427.sdf,1NIU_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1NR6_protein_processed_obabel_reduce_obabel_8A_1NR6_ligand/1NR6_1NR6_ligand_1NR6_ligand.sdf_file_inner_idx_0_sample_idx_38_rank_1_rmsd_1.0837634691215856_confidence_137.28142846094693.sdf,1NR6_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
SurfDock_docking_result/1NVQ_protein_processed_obabel_reduce_obabel_8A_1NVQ_ligand/1NVQ_1NVQ_ligand_1NVQ_ligand.sdf_file_inner_idx_0_sample_idx_8_rank_1_rmsd_0.47539473852047803_confidence_507.73968622004986.sdf,1NVQ_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1NVR_protein_processed_obabel_reduce_obabel_8A_1NVR_ligand/1NVR_1NVR_ligand_1NVR_ligand.sdf_file_inner_idx_0_sample_idx_9_rank_1_rmsd_0.849992890653847_confidence_550.2268046695722.sdf,1NVR_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1OAR_protein_processed_obabel_reduce_obabel_8A_1OAR_ligand/1OAR_1OAR_ligand_1OAR_ligand.sdf_file_inner_idx_0_sample_idx_24_rank_1_rmsd_0.3924188627030957_confidence_525.6185738321495.sdf,1OAR_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1OKY_protein_processed_obabel_reduce_obabel_8A_1OKY_ligand/1OKY_1OKY_ligand_1OKY_ligand.sdf_file_inner_idx_0_sample_idx_3_rank_1_rmsd_0.2990948848946487_confidence_595.8101244714338.sdf,1OKY_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
